employee_id,employee_name,department_id,salary,hire_date,manager_id
1001,Employee_1,2,33278,2022-04-08,NULL
1002,Employee_2,3,43434,2024-02-19,NULL
1003,Employee_3,7,34165,2020-02-07,NULL
1004,Employee_4,4,96237,2024-01-18,NULL
1005,Employee_5,4,115181,2024-07-08,NULL
1006,Employee_6,8,107236,2022-01-25,1002
1007,Employee_7,7,74597,2022-03-07,1003
1008,Employee_8,2,42156,2023-02-12,1003
1009,Employee_9,10,64671,2020-12-15,1005
1010,Employee_10,2,79615,2020-09-10,1005
1011,Employee_11,6,105674,2021-12-03,1001
1012,Employee_12,4,67930,2020-04-28,1001
1013,Employee_13,7,66434,2023-11-27,1003
1014,Employee_14,3,78520,2022-04-22,1003
1015,Employee_15,2,109840,2021-09-24,1002
1016,Employee_16,3,90589,2023-05-21,1005
1017,Employee_17,4,119733,2022-01-08,1001
1018,Employee_18,6,82581,2022-02-07,1005
1019,Employee_19,6,57869,2023-07-21,1004
1020,Employee_20,3,64718,2021-04-24,1005
1021,Employee_21,9,64438,2024-07-19,1004
1022,Employee_22,6,58746,2021-09-16,1001
1023,Employee_23,1,44371,2021-11-06,1004
1024,Employee_24,10,38326,2023-07-20,1004
1025,Employee_25,9,62953,2024-01-22,1001
1026,Employee_26,9,64973,2022-02-10,1004
1027,Employee_27,3,89470,2020-12-24,1003
1028,Employee_28,9,53416,2024-02-28,1003
1029,Employee_29,9,109818,2021-03-12,1002
1030,Employee_30,9,99514,2020-10-11,1004
1031,Employee_31,1,44662,2022-05-08,1001
1032,Employee_32,4,104364,2020-02-24,1004
1033,Employee_33,2,99822,2021-03-22,1004
1034,Employee_34,9,51643,2022-09-28,1005
1035,Employee_35,7,57760,2024-12-23,1002
1036,Employee_36,5,82296,2022-08-17,1004
1037,Employee_37,2,62493,2021-02-11,1001
1038,Employee_38,10,102603,2021-10-08,1001
1039,Employee_39,2,112719,2020-04-03,1001
1040,Employee_40,6,39287,2024-04-09,1004
1041,Employee_41,4,100678,2021-12-19,1005
1042,Employee_42,8,61850,2023-07-07,1001
1043,Employee_43,2,116374,2023-06-14,1004
1044,Employee_44,8,37100,2020-01-13,1003
1045,Employee_45,2,62591,2021-04-18,1004
1046,Employee_46,3,85296,2021-05-15,1002
1047,Employee_47,2,88082,2024-02-02,1005
1048,Employee_48,1,42224,2021-03-14,1004
1049,Employee_49,8,58016,2023-01-06,1004
1050,Employee_50,1,81173,2022-08-10,1004
